benchmark,config_id,workload,dtype,thread_count,m,k,n,request_count,avg_ms,p50_ms,p95_ms,p99_ms,total_ms,throughput_gflops,output_elements,partials,throughput_mb_s
compute,gemv:d=bfloat16:m1:k4096:n64:t8,gemv,bfloat16,8,1,4096,64,20,0.052340,0.050733,0.054888,0.065573,1.046810,10.016870,0,0,
compute,gemv:d=bfloat16:m1:k4096:n128:t8,gemv,bfloat16,8,1,4096,128,20,0.072985,0.072118,0.085348,0.092452,1.459702,14.366987,0,0,
compute,gemv:d=bfloat16:m1:k4096:n256:t8,gemv,bfloat16,8,1,4096,256,20,0.135413,0.130505,0.157082,0.160176,2.708258,15.487092,0,0,
compute,gemv:d=bfloat16:m1:k4096:n512:t8,gemv,bfloat16,8,1,4096,512,20,0.179956,0.175220,0.197163,0.203532,3.599123,23.307367,0,0,
compute,gemv:d=bfloat16:m1:k4096:n1024:t8,gemv,bfloat16,8,1,4096,1024,20,0.329037,0.330717,0.347286,0.351692,6.580735,25.494441,0,0,
compute,gemv:d=bfloat16:m1:k4096:n4096:t8,gemv,bfloat16,8,1,4096,4096,20,1.215379,1.213319,1.240640,1.242370,24.307573,27.608212,0,0,
compute,gemv:d=bfloat16:m1:k4096:n6144:t8,gemv,bfloat16,8,1,4096,6144,20,1.820172,1.811685,1.858057,1.910935,36.403439,27.652139,0,0,
compute,gemv:d=bfloat16:m1:k4096:n11008:t8,gemv,bfloat16,8,1,4096,11008,20,4.531776,4.539085,4.696331,4.701829,90.635522,19.898939,0,0,
compute,gemv:d=bfloat16:m1:k4096:n28672:t8,gemv,bfloat16,8,1,4096,28672,20,18.692402,18.710696,18.896568,18.951798,373.848044,12.565588,0,0,
compute,gemv:d=bfloat16:m1:k4096:n32000:t8,gemv,bfloat16,8,1,4096,32000,20,19.170574,19.161286,19.255616,19.268282,383.411485,13.674290,0,0,
compute,gemv:d=bfloat16:m1:k14336:n64:t8,gemv,bfloat16,8,1,14336,64,20,0.189586,0.188118,0.208841,0.215179,3.791710,9.679052,0,0,
compute,gemv:d=bfloat16:m1:k14336:n128:t8,gemv,bfloat16,8,1,14336,128,20,0.323653,0.323014,0.353979,0.368153,6.473065,11.339345,0,0,
compute,gemv:d=bfloat16:m1:k14336:n256:t8,gemv,bfloat16,8,1,14336,256,20,0.477677,0.474602,0.514291,0.522793,9.553537,15.366104,0,0,
compute,gemv:d=bfloat16:m1:k14336:n512:t8,gemv,bfloat16,8,1,14336,512,20,0.601833,0.605019,0.622327,0.632746,12.036661,24.392253,0,0,
compute,gemv:d=bfloat16:m1:k14336:n4096:t8,gemv,bfloat16,8,1,14336,4096,20,6.679683,6.665541,7.094234,7.227120,133.593664,17.581749,0,0,
compute,gemm:d=bfloat16:m1:k4096:n64:t8,gemm,bfloat16,8,1,4096,64,20,0.061278,0.056703,0.080780,0.081308,1.225552,8.555949,0,0,
compute,gemm:d=bfloat16:m1:k4096:n128:t8,gemm,bfloat16,8,1,4096,128,20,0.074704,0.071021,0.092058,0.106056,1.494078,14.036429,0,0,
compute,gemm:d=bfloat16:m1:k4096:n256:t8,gemm,bfloat16,8,1,4096,256,20,0.126929,0.124162,0.144455,0.150749,2.538580,16.522245,0,0,
compute,gemm:d=bfloat16:m1:k4096:n512:t8,gemm,bfloat16,8,1,4096,512,20,0.171199,0.167671,0.185829,0.192659,3.423979,24.499590,0,0,
compute,gemm:d=bfloat16:m1:k4096:n4096:t8,gemm,bfloat16,8,1,4096,4096,20,1.198206,1.198063,1.228371,1.234189,23.964118,28.003895,0,0,
compute,gemm:d=bfloat16:m1:k4096:n6144:t8,gemm,bfloat16,8,1,4096,6144,20,1.737171,1.737783,1.762450,1.770195,34.743424,28.973338,0,0,
compute,gemm:d=bfloat16:m1:k4096:n11008:t8,gemm,bfloat16,8,1,4096,11008,20,4.474998,4.511489,4.653775,4.663634,89.499951,20.151416,0,0,
compute,gemm:d=bfloat16:m1:k4096:n28672:t8,gemm,bfloat16,8,1,4096,28672,20,18.762008,18.772539,18.868954,18.869635,375.240169,12.518970,0,0,
compute,gemm:d=bfloat16:m1:k4096:n32000:t8,gemm,bfloat16,8,1,4096,32000,20,19.104471,19.084677,19.284423,19.301238,382.089422,13.721605,0,0,
compute,gemm:d=bfloat16:m1:k14336:n64:t8,gemm,bfloat16,8,1,14336,64,20,0.203299,0.192890,0.255835,0.262998,4.065972,9.026171,0,0,
compute,gemm:d=bfloat16:m1:k14336:n128:t8,gemm,bfloat16,8,1,14336,128,20,0.301049,0.299587,0.327026,0.328704,6.020984,12.190752,0,0,
compute,gemm:d=bfloat16:m1:k14336:n256:t8,gemm,bfloat16,8,1,14336,256,20,0.487175,0.483874,0.517405,0.518769,9.743504,15.066514,0,0,
compute,gemm:d=bfloat16:m1:k14336:n512:t8,gemm,bfloat16,8,1,14336,512,20,0.597860,0.600837,0.615505,0.617331,11.957192,24.554367,0,0,
compute,gemm:d=bfloat16:m1:k14336:n4096:t8,gemm,bfloat16,8,1,14336,4096,20,6.454682,6.437888,6.749722,6.802676,129.093646,18.194623,0,0,
compute,gemm:d=bfloat16:m2:k4096:n64:t8,gemm,bfloat16,8,2,4096,64,20,0.033325,0.031835,0.035875,0.059877,0.666502,31.465052,0,0,
compute,gemm:d=bfloat16:m2:k4096:n128:t8,gemm,bfloat16,8,2,4096,128,20,0.041311,0.041135,0.043350,0.044190,0.826212,50.765469,0,0,
compute,gemm:d=bfloat16:m2:k4096:n256:t8,gemm,bfloat16,8,2,4096,256,20,0.070627,0.068841,0.080797,0.089442,1.412549,59.386315,0,0,
compute,gemm:d=bfloat16:m2:k4096:n512:t8,gemm,bfloat16,8,2,4096,512,20,0.101357,0.099158,0.123805,0.126563,2.027134,82.763231,0,0,
