benchmark,config_id,workload,dtype,thread_count,chunk_size_bytes,chunk_size_param,prefetch_depth,request_count,bytes_transferred,avg_ms,p50_ms,p95_ms,p99_ms,total_ms,io_total_ms,io_exposed_ms,compute_ms,merge_ms,runtime_overhead_ms,throughput_mb_s,omega_hint
runtime,runtime:s64:b524288:d=bfloat16:t8:p1,fetch_compute_merge,bfloat16,8,524288,64,1,640,335544320,341.691371,272.905171,542.092011,593.155362,1708.456856,282.102500,109.682681,150.051428,0.064118,81.893145,187.303530,1.000000
runtime,runtime:s64:b524288:d=bfloat16:t8:p2,fetch_compute_merge,bfloat16,8,524288,64,2,640,335544320,274.511197,270.412768,286.774480,289.777826,1372.555987,202.245624,42.995772,149.827387,0.054003,81.634035,233.141674,1.000000
runtime,runtime:s64:b524288:d=bfloat16:t8:p4,fetch_compute_merge,bfloat16,8,524288,64,4,640,335544320,277.405150,275.480225,281.024352,281.093793,1387.025749,204.450406,45.916619,149.467727,0.054175,81.966629,230.709488,1.000000
runtime,runtime:s64:b524288:d=bfloat16:t8:p8,fetch_compute_merge,bfloat16,8,524288,64,8,640,335544320,272.279963,273.350828,277.982596,278.301202,1361.399815,200.860450,45.558529,148.009230,0.053926,78.658278,235.052184,1.000000
runtime,runtime:s128:b1048576:d=bfloat16:t8:p1,fetch_compute_merge,bfloat16,8,1048576,128,1,640,671088640,576.512190,527.815683,730.589536,770.509613,2882.560950,320.054802,42.492617,391.133504,0.104151,142.781918,222.024794,1.000000
runtime,runtime:s128:b1048576:d=bfloat16:t8:p2,fetch_compute_merge,bfloat16,8,1048576,128,2,640,671088640,524.604714,523.382367,529.434842,529.524540,2623.023572,225.079554,2.584738,384.154415,0.096377,137.769185,243.993232,1.000000
runtime,runtime:s128:b1048576:d=bfloat16:t8:p4,fetch_compute_merge,bfloat16,8,1048576,128,4,640,671088640,524.661844,522.825444,528.329905,528.580256,2623.309220,227.288177,3.245010,385.543219,0.096547,135.777068,243.966664,1.000000
runtime,runtime:s128:b1048576:d=bfloat16:t8:p8,fetch_compute_merge,bfloat16,8,1048576,128,8,640,671088640,522.964114,523.823504,526.545798,527.034480,2614.820569,227.188996,4.582221,383.199823,0.098038,135.084032,244.758668,1.000000
runtime,runtime:s256:b2097152:d=bfloat16:t8:p1,fetch_compute_merge,bfloat16,8,2097152,256,1,320,671088640,711.188030,712.376021,720.421956,721.836558,3555.940150,242.084808,2.331026,517.750508,0.080382,191.026114,179.980532,1.000000
runtime,runtime:s256:b2097152:d=bfloat16:t8:p2,fetch_compute_merge,bfloat16,8,2097152,256,2,320,671088640,711.167420,711.079180,715.568250,715.991996,3555.837102,202.804083,2.204150,518.662323,0.080344,190.220603,179.985748,1.000000
runtime,runtime:s256:b2097152:d=bfloat16:t8:p4,fetch_compute_merge,bfloat16,8,2097152,256,4,320,671088640,711.540889,713.967862,719.921250,720.622139,3557.704444,195.566060,2.148354,518.993814,0.079051,190.319669,179.891278,1.000000
runtime,runtime:s256:b2097152:d=bfloat16:t8:p8,fetch_compute_merge,bfloat16,8,2097152,256,8,320,671088640,709.933515,707.925919,721.469903,723.697479,3549.667573,197.660764,2.211850,519.133816,0.079567,188.508282,180.298574,1.000000
runtime,runtime:s512:b4194304:d=bfloat16:t8:p1,fetch_compute_merge,bfloat16,8,4194304,512,1,160,671088640,668.273491,668.895684,675.730415,676.830358,3341.367457,113.071326,3.000675,489.489415,0.072132,175.711270,191.538347,1.000000
runtime,runtime:s512:b4194304:d=bfloat16:t8:p2,fetch_compute_merge,bfloat16,8,4194304,512,2,160,671088640,666.220935,667.898373,668.904690,669.024664,3331.104673,78.592795,2.323765,488.756157,0.072481,175.068531,192.128457,1.000000
runtime,runtime:s512:b4194304:d=bfloat16:t8:p4,fetch_compute_merge,bfloat16,8,4194304,512,4,160,671088640,663.703423,664.948200,666.290938,666.421484,3318.517117,72.655847,2.287331,486.348276,0.071542,174.996274,192.857224,1.000000
runtime,runtime:s512:b4194304:d=bfloat16:t8:p8,fetch_compute_merge,bfloat16,8,4194304,512,8,160,671088640,665.028200,666.101639,670.525040,671.195412,3325.140998,80.377904,2.239046,486.058419,0.070967,176.659767,192.473041,1.000000
