system,platform_id,model,token_len,prefill_s,decode_s
KVTensor,8c16g,3b,64,0.85,0.35
KVTensor,8c16g,3b,256,2.43,0.375
KVTensor,8c16g,3b,1024,9.52,0.43
KVTensor,8c16g,8b,64,2.35,0.67
KVTensor,8c16g,8b,256,6.90,0.72
KVTensor,8c16g,8b,1024,23.62,0.77
FlexGen,8c16g,3b,64,0.95,0.46
FlexGen,8c16g,3b,256,3.12,0.59
FlexGen,8c16g,3b,1024,14.2,0.79
FlexGen,8c16g,8b,64,4.61,0.81
FlexGen,8c16g,8b,256,14.86,0.96
FlexGen,8c16g,8b,1024,62.41,2.68
