benchmark,config_id,workload,dtype,thread_count,chunk_size_param,chunk_size_bytes,window_chunks,read_size_bytes,request_count,bytes_transferred,avg_ms,p50_ms,p95_ms,p99_ms,total_ms,throughput_mb_s,requests_per_s
kv,kv_window:s64:b524288:w1:t4:d=bfloat16,window_seq,bfloat16,4,64,524288,1,524288,512,268435456,3.152327,2.143549,4.977806,5.170798,1613.991472,158.612982,317.225964
kv,kv_window:s64:b524288:w2:t4:d=bfloat16,window_seq,bfloat16,4,64,524288,2,1048576,256,268435456,3.142602,3.069699,3.780711,4.613168,804.506000,318.207695,318.207695
kv,kv_window:s64:b524288:w4:t4:d=bfloat16,window_seq,bfloat16,4,64,524288,4,2097152,128,268435456,6.322796,6.205767,7.545119,8.421272,809.317889,316.315756,158.157878
kv,kv_window:s64:b524288:w8:t4:d=bfloat16,window_seq,bfloat16,4,64,524288,8,4194304,64,268435456,12.711215,12.490576,14.448127,15.025076,813.517736,314.682752,78.670688
kv,kv_window:s128:b1048576:w1:t4:d=bfloat16,window_seq,bfloat16,4,128,1048576,1,1048576,256,268435456,3.365477,2.332313,5.537506,5.809665,861.561992,297.134742,297.134742
kv,kv_window:s128:b1048576:w2:t4:d=bfloat16,window_seq,bfloat16,4,128,1048576,2,2097152,128,268435456,3.206204,3.128601,3.862206,4.315829,410.394122,623.790611,311.895305
kv,kv_window:s128:b1048576:w4:t4:d=bfloat16,window_seq,bfloat16,4,128,1048576,4,4194304,64,268435456,6.443620,6.353091,7.449164,7.753254,412.391705,620.769033,155.192258
kv,kv_window:s128:b1048576:w8:t4:d=bfloat16,window_seq,bfloat16,4,128,1048576,8,8388608,32,268435456,13.147157,12.841702,14.855204,16.706989,420.709014,608.496589,76.062074
kv,kv_window:s256:b2097152:w1:t4:d=bfloat16,window_seq,bfloat16,4,256,2097152,1,2097152,128,268435456,3.461073,2.347240,5.600741,5.816920,443.017375,577.855440,288.927720
kv,kv_window:s256:b2097152:w2:t4:d=bfloat16,window_seq,bfloat16,4,256,2097152,2,4194304,64,268435456,3.429499,3.208846,4.025416,6.578764,219.487956,1166.351014,291.587753
kv,kv_window:s256:b2097152:w4:t4:d=bfloat16,window_seq,bfloat16,4,256,2097152,4,8388608,32,268435456,6.743112,6.450717,7.837899,10.174465,215.779573,1186.395897,148.299487
kv,kv_window:s256:b2097152:w8:t4:d=bfloat16,window_seq,bfloat16,4,256,2097152,8,16777216,16,268435456,26.574612,31.979498,32.510115,32.807913,425.193789,602.078409,37.629901
kv,kv_window:s512:b4194304:w1:t4:d=bfloat16,window_seq,bfloat16,4,512,4194304,1,4194304,64,268435456,3.478602,1.917992,5.615200,5.681477,222.630548,1149.887122,287.471780
kv,kv_window:s512:b4194304:w2:t4:d=bfloat16,window_seq,bfloat16,4,512,4194304,2,8388608,32,268435456,3.986717,3.477689,7.573220,10.916559,127.574957,2006.663424,250.832928
kv,kv_window:s512:b4194304:w4:t4:d=bfloat16,window_seq,bfloat16,4,512,4194304,4,16777216,16,268435456,27.816207,31.741996,32.440362,32.912292,445.059314,575.204230,35.950264
kv,kv_window:s512:b4194304:w8:t4:d=bfloat16,window_seq,bfloat16,4,512,4194304,8,33554432,8,268435456,64.011423,64.089448,64.541086,64.607971,512.091387,499.910771,15.622212
