benchmark,config_id,workload,dtype,thread_count,chunk_size_bytes,chunk_size_param,prefetch_depth,request_count,bytes_transferred,avg_ms,p50_ms,p95_ms,p99_ms,total_ms,io_total_ms,io_exposed_ms,compute_ms,merge_ms,runtime_overhead_ms,throughput_mb_s,omega_hint
runtime,runtime:s64:b524288:d=bfloat16:t4:p1,fetch_compute_merge,bfloat16,4,524288,64,1,640,335544320,332.425847,266.932716,528.060275,578.851214,1662.129235,273.929009,141.131668,131.377083,0.045811,59.871285,192.524139,1.000000
runtime,runtime:s64:b524288:d=bfloat16:t4:p2,fetch_compute_merge,bfloat16,4,524288,64,2,640,335544320,271.321269,270.317247,275.419719,276.121858,1356.606343,197.220451,82.236762,131.745748,0.044636,57.294123,235.882724,1.000000
runtime,runtime:s64:b524288:d=bfloat16:t4:p4,fetch_compute_merge,bfloat16,4,524288,64,4,640,335544320,268.631100,267.558068,271.658976,272.125806,1343.155499,196.962783,79.397836,131.815669,0.041559,57.376036,238.244939,1.000000
runtime,runtime:s64:b524288:d=bfloat16:t4:p8,fetch_compute_merge,bfloat16,4,524288,64,8,640,335544320,266.996660,267.501153,270.406300,270.881660,1334.983298,196.983365,78.131783,131.339943,0.042815,57.482119,239.703373,1.000000
runtime,runtime:s128:b1048576:d=bfloat16:t4:p1,fetch_compute_merge,bfloat16,4,1048576,128,1,640,671088640,568.352032,536.104036,666.266635,691.182149,2841.760160,309.931908,40.911849,409.926867,0.097443,117.415873,225.212532,1.000000
runtime,runtime:s128:b1048576:d=bfloat16:t4:p2,fetch_compute_merge,bfloat16,4,1048576,128,2,640,671088640,532.130876,531.978132,533.486914,533.526092,2660.654382,221.454985,3.566189,411.766697,0.093666,116.704324,240.542328,1.000000
runtime,runtime:s128:b1048576:d=bfloat16:t4:p4,fetch_compute_merge,bfloat16,4,1048576,128,4,640,671088640,533.463563,533.241374,535.764845,536.005830,2667.317816,220.252123,3.397331,412.988191,0.087267,116.990775,239.941411,1.000000
runtime,runtime:s128:b1048576:d=bfloat16:t4:p8,fetch_compute_merge,bfloat16,4,1048576,128,8,640,671088640,530.342188,530.141925,530.911395,530.962264,2651.710942,216.331578,3.627695,409.734245,0.096621,116.883628,241.353607,1.000000
runtime,runtime:s256:b2097152:d=bfloat16:t4:p1,fetch_compute_merge,bfloat16,4,2097152,256,1,320,671088640,576.116610,574.806407,580.467368,581.377632,2880.583051,231.157406,3.112510,462.845416,0.061048,110.097636,222.177243,1.000000
runtime,runtime:s256:b2097152:d=bfloat16:t4:p2,fetch_compute_merge,bfloat16,4,2097152,256,2,320,671088640,575.176729,574.870519,576.069059,576.156943,2875.883647,195.110500,2.338656,462.580548,0.064469,110.193056,222.540297,1.000000
runtime,runtime:s256:b2097152:d=bfloat16:t4:p4,fetch_compute_merge,bfloat16,4,2097152,256,4,320,671088640,576.190773,576.296404,576.603438,576.663510,2880.953865,190.779872,2.278399,462.862142,0.059597,110.990635,222.148646,1.000000
runtime,runtime:s256:b2097152:d=bfloat16:t4:p8,fetch_compute_merge,bfloat16,4,2097152,256,8,320,671088640,576.188174,576.523343,577.260633,577.326820,2880.940870,193.510663,1.949566,463.059193,0.064636,111.114779,222.149648,1.000000
runtime,runtime:s512:b4194304:d=bfloat16:t4:p1,fetch_compute_merge,bfloat16,4,4194304,512,1,160,671088640,543.544744,542.665116,546.921216,547.616686,2717.723718,133.406514,2.323240,431.289158,0.053615,109.878731,235.491193,1.000000
runtime,runtime:s512:b4194304:d=bfloat16:t4:p2,fetch_compute_merge,bfloat16,4,4194304,512,2,160,671088640,542.281431,542.031660,543.269806,543.305944,2711.407157,120.379706,2.227881,431.033969,0.050922,108.968660,236.039799,1.000000
runtime,runtime:s512:b4194304:d=bfloat16:t4:p4,fetch_compute_merge,bfloat16,4,4194304,512,4,160,671088640,542.291603,542.486347,544.512084,544.805315,2711.458014,119.703451,2.502331,430.507314,0.052075,109.229883,236.035372,1.000000
runtime,runtime:s512:b4194304:d=bfloat16:t4:p8,fetch_compute_merge,bfloat16,4,4194304,512,8,160,671088640,542.991875,543.231847,544.327446,544.412140,2714.959373,119.732521,2.506369,431.199660,0.049718,109.236127,235.730968,1.000000
