benchmark,config_id,workload,dtype,thread_count,chunk_size_param,chunk_size_bytes,window_chunks,read_size_bytes,request_count,bytes_transferred,avg_ms,p50_ms,p95_ms,p99_ms,total_ms,throughput_mb_s,requests_per_s
kv,kv_window:s64:b524288:w1:t8:d=bfloat16,window_seq,bfloat16,8,64,524288,1,524288,512,268435456,1.600848,1.575881,1.845655,2.187736,819.634317,312.334409,624.668818
kv,kv_window:s64:b524288:w2:t8:d=bfloat16,window_seq,bfloat16,8,64,524288,2,1048576,256,268435456,3.247918,3.191771,3.573387,4.042761,831.467003,307.889548,307.889548
kv,kv_window:s64:b524288:w4:t8:d=bfloat16,window_seq,bfloat16,8,64,524288,4,2097152,128,268435456,6.446913,6.407301,7.020064,7.437311,825.204844,310.226003,155.113001
kv,kv_window:s64:b524288:w8:t8:d=bfloat16,window_seq,bfloat16,8,64,524288,8,4194304,64,268435456,12.889550,12.793869,13.796658,15.418905,824.931220,310.328902,77.582226
kv,kv_window:s128:b1048576:w1:t8:d=bfloat16,window_seq,bfloat16,8,128,1048576,1,1048576,256,268435456,1.773686,1.658743,1.926844,5.896832,454.063705,563.797540,563.797540
kv,kv_window:s128:b1048576:w2:t8:d=bfloat16,window_seq,bfloat16,8,128,1048576,2,2097152,128,268435456,3.352625,3.331802,3.664362,3.912652,429.136008,596.547470,298.273735
kv,kv_window:s128:b1048576:w4:t8:d=bfloat16,window_seq,bfloat16,8,128,1048576,4,4194304,64,268435456,6.976129,6.727890,7.743100,12.682048,446.472258,573.383890,143.345972
kv,kv_window:s128:b1048576:w8:t8:d=bfloat16,window_seq,bfloat16,8,128,1048576,8,8388608,32,268435456,13.787615,13.582755,14.741478,15.518619,441.203681,580.230880,72.528860
kv,kv_window:s256:b2097152:w1:t8:d=bfloat16,window_seq,bfloat16,8,256,2097152,1,2097152,128,268435456,1.963895,1.768598,2.177295,8.929930,251.378611,1018.384177,509.192089
kv,kv_window:s256:b2097152:w2:t8:d=bfloat16,window_seq,bfloat16,8,256,2097152,2,4194304,64,268435456,3.515011,3.515374,3.795346,3.953048,224.960677,1137.976661,284.494165
kv,kv_window:s256:b2097152:w4:t8:d=bfloat16,window_seq,bfloat16,8,256,2097152,4,8388608,32,268435456,7.024561,7.034536,7.271445,7.303466,224.785965,1138.861138,142.357642
kv,kv_window:s256:b2097152:w8:t8:d=bfloat16,window_seq,bfloat16,8,256,2097152,8,16777216,16,268435456,28.110576,31.902316,35.667016,43.902325,449.769211,569.180801,35.573800
kv,kv_window:s512:b4194304:w1:t8:d=bfloat16,window_seq,bfloat16,8,512,4194304,1,4194304,64,268435456,1.801702,1.833463,1.909097,1.978894,115.308951,2220.122530,555.030632
kv,kv_window:s512:b4194304:w2:t8:d=bfloat16,window_seq,bfloat16,8,512,4194304,2,8388608,32,268435456,3.602127,3.596882,3.787520,4.054721,115.268079,2220.909746,277.613718
kv,kv_window:s512:b4194304:w4:t8:d=bfloat16,window_seq,bfloat16,8,512,4194304,4,16777216,16,268435456,25.647334,31.481389,32.548714,32.690826,410.357337,623.846528,38.990408
kv,kv_window:s512:b4194304:w8:t8:d=bfloat16,window_seq,bfloat16,8,512,4194304,8,33554432,8,268435456,64.000093,63.947356,64.494126,64.499410,512.000746,499.999271,15.624977
