benchmark,config_id,workload,dtype,thread_count,m,k,n,request_count,avg_ms,p50_ms,p95_ms,p99_ms,total_ms,throughput_gflops,output_elements,partials,throughput_mb_s
compute,gemv:d=bfloat16:m1:k4096:n64:t8,gemv,bfloat16,8,1,4096,64,20,0.040390,0.036724,0.053613,0.059528,0.807801,12.980623,0,0,
compute,gemv:d=bfloat16:m1:k4096:n128:t8,gemv,bfloat16,8,1,4096,128,20,0.056730,0.050148,0.064981,0.143407,1.134595,18.483706,0,0,
compute,gemv:d=bfloat16:m1:k4096:n256:t8,gemv,bfloat16,8,1,4096,256,20,0.071269,0.069195,0.079611,0.086301,1.425375,29.425969,0,0,
compute,gemv:d=bfloat16:m1:k4096:n512:t8,gemv,bfloat16,8,1,4096,512,20,0.152900,0.149087,0.173959,0.182376,3.057997,27.431708,0,0,
compute,gemv:d=bfloat16:m1:k4096:n1024:t8,gemv,bfloat16,8,1,4096,1024,20,0.276416,0.274574,0.294158,0.320175,5.528313,30.347804,0,0,
compute,gemv:d=bfloat16:m1:k4096:n4096:t8,gemv,bfloat16,8,1,4096,4096,20,0.974747,0.972024,0.997137,1.000953,19.494934,34.423745,0,0,
compute,gemv:d=bfloat16:m1:k4096:n6144:t8,gemv,bfloat16,8,1,4096,6144,20,1.468468,1.466540,1.496603,1.512292,29.369367,34.274929,0,0,
compute,gemv:d=bfloat16:m1:k4096:n11008:t8,gemv,bfloat16,8,1,4096,11008,20,3.477219,3.454808,3.761522,3.762460,69.544373,25.933812,0,0,
compute,gemv:d=bfloat16:m1:k4096:n28672:t8,gemv,bfloat16,8,1,4096,28672,20,16.904825,16.924399,17.208627,17.234591,338.096501,13.894319,0,0,
compute,gemv:d=bfloat16:m1:k4096:n32000:t8,gemv,bfloat16,8,1,4096,32000,20,17.251298,17.244743,17.306002,17.311640,345.025961,15.195610,0,0,
compute,gemv:d=bfloat16:m1:k14336:n64:t8,gemv,bfloat16,8,1,14336,64,20,0.142347,0.146551,0.174440,0.184271,2.846943,12.891076,0,0,
compute,gemv:d=bfloat16:m1:k14336:n128:t8,gemv,bfloat16,8,1,14336,128,20,0.252852,0.243592,0.288457,0.332895,5.057048,14.514460,0,0,
compute,gemv:d=bfloat16:m1:k14336:n256:t8,gemv,bfloat16,8,1,14336,256,20,0.291953,0.286468,0.314542,0.314737,5.839067,25.141112,0,0,
compute,gemv:d=bfloat16:m1:k14336:n512:t8,gemv,bfloat16,8,1,14336,512,20,0.558295,0.557195,0.575085,0.584139,11.165901,26.294455,0,0,
compute,gemv:d=bfloat16:m1:k14336:n4096:t8,gemv,bfloat16,8,1,14336,4096,20,5.764001,5.814391,6.030665,6.056881,115.280029,20.374823,0,0,
compute,gemm:d=bfloat16:m1:k4096:n64:t8,gemm,bfloat16,8,1,4096,64,20,0.043630,0.043211,0.050159,0.052524,0.872600,12.016686,0,0,
compute,gemm:d=bfloat16:m1:k4096:n128:t8,gemm,bfloat16,8,1,4096,128,20,0.048934,0.048067,0.055312,0.064120,0.978685,21.428263,0,0,
compute,gemm:d=bfloat16:m1:k4096:n256:t8,gemm,bfloat16,8,1,4096,256,20,0.075450,0.073277,0.082322,0.088308,1.508993,27.795384,0,0,
compute,gemm:d=bfloat16:m1:k4096:n512:t8,gemm,bfloat16,8,1,4096,512,20,0.151005,0.148249,0.167766,0.167925,3.020104,27.775891,0,0,
compute,gemm:d=bfloat16:m1:k4096:n4096:t8,gemm,bfloat16,8,1,4096,4096,20,0.981860,0.977241,1.005085,1.025785,19.637209,34.174339,0,0,
compute,gemm:d=bfloat16:m1:k4096:n6144:t8,gemm,bfloat16,8,1,4096,6144,20,1.478371,1.470579,1.523505,1.526066,29.567423,34.045340,0,0,
compute,gemm:d=bfloat16:m1:k4096:n11008:t8,gemm,bfloat16,8,1,4096,11008,20,3.384391,3.367066,3.567313,3.600922,67.687817,26.645131,0,0,
compute,gemm:d=bfloat16:m1:k4096:n28672:t8,gemm,bfloat16,8,1,4096,28672,20,17.066732,17.075484,17.379166,17.551153,341.334647,13.762507,0,0,
compute,gemm:d=bfloat16:m1:k4096:n32000:t8,gemm,bfloat16,8,1,4096,32000,20,17.441387,17.398447,17.614897,17.617257,348.827732,15.029998,0,0,
compute,gemm:d=bfloat16:m1:k14336:n64:t8,gemm,bfloat16,8,1,14336,64,20,0.149929,0.147512,0.162242,0.162963,2.998580,12.239180,0,0,
compute,gemm:d=bfloat16:m1:k14336:n128:t8,gemm,bfloat16,8,1,14336,128,20,0.244823,0.239980,0.261939,0.265086,4.896460,14.990487,0,0,
compute,gemm:d=bfloat16:m1:k14336:n256:t8,gemm,bfloat16,8,1,14336,256,20,0.294111,0.289587,0.312994,0.316508,5.882217,24.956686,0,0,
compute,gemm:d=bfloat16:m1:k14336:n512:t8,gemm,bfloat16,8,1,14336,512,20,0.556706,0.560104,0.573234,0.579535,11.134113,26.369526,0,0,
compute,gemm:d=bfloat16:m1:k14336:n4096:t8,gemm,bfloat16,8,1,14336,4096,20,5.099350,5.135080,5.321084,5.352163,101.986998,23.030487,0,0,
compute,gemm:d=bfloat16:m2:k4096:n64:t8,gemm,bfloat16,8,2,4096,64,20,0.029139,0.026977,0.039386,0.046586,0.582786,35.984941,0,0,
compute,gemm:d=bfloat16:m2:k4096:n128:t8,gemm,bfloat16,8,2,4096,128,20,0.033155,0.031668,0.041197,0.057461,0.663098,63.253154,0,0,
compute,gemm:d=bfloat16:m2:k4096:n256:t8,gemm,bfloat16,8,2,4096,256,20,0.069627,0.066408,0.081636,0.089008,1.392543,60.239490,0,0,
compute,gemm:d=bfloat16:m2:k4096:n512:t8,gemm,bfloat16,8,2,4096,512,20,0.082372,0.080684,0.097873,0.101818,1.647445,101.837791,0,0,
compute,gemm:d=bfloat16:m2:k4096:n4096:t8,gemm,bfloat16,8,2,4096,4096,20,0.987808,0.982696,1.018643,1.019039,19.756156,67.937168,0,0,
compute,gemm:d=bfloat16:m2:k4096:n6144:t8,gemm,bfloat16,8,2,4096,6144,20,1.502789,1.504188,1.517568,1.517843,30.055788,66.984300,0,0,
compute,gemm:d=bfloat16:m2:k4096:n11008:t8,gemm,bfloat16,8,2,4096,11008,20,3.358368,3.356057,3.435006,3.539089,67.167368,53.703183,0,0,
