platform_id,threads,chunk_size,static_ratio,requested_static_bytes,selected_static_bytes,matrix_count,median_preload_s,median_throughput_mb_s
4c8g,4,64,0.0,0,0,0,6.3e-08,0.0
4c8g,4,64,0.25,1288490188,1189085184,9,11.492713807,98.67121195598742
4c8g,4,64,0.5,2576980377,2510290944,19,23.81535813,100.5233676072374
4c8g,4,64,0.75,3865470566,3831496704,38,34.493021665,105.93447090510213
4c8g,4,128,0.0,0,0,0,5.1e-08,0.0
4c8g,4,128,0.25,1288490188,1189085184,9,9.674951686,117.20988763602183
4c8g,4,128,0.5,2576980377,2510290944,19,20.476970578,116.91182496360376
4c8g,4,128,0.75,3865470566,3831496704,38,29.28295433,124.78249150757735
4c8g,4,256,0.0,0,0,0,6e-08,0.0
4c8g,4,256,0.25,1288490188,1189085184,9,8.747129108,129.642535967928
4c8g,4,256,0.5,2576980377,2510290944,19,18.528677037,129.20512323785505
4c8g,4,256,0.75,3865470566,3831496704,38,27.460174712,133.06543160496406
4c8g,4,512,0.0,0,0,0,5.2e-08,0.0
4c8g,4,512,0.25,1288490188,1189085184,9,8.701652678,130.32007159594426
4c8g,4,512,0.5,2576980377,2510290944,19,18.282818458,130.94261180241926
4c8g,4,512,0.75,3865470566,3831496704,38,27.567264923,132.54851397867128
