platform_id,chunk_size,prefetch_window,static_ratio,static_budget_bytes,static_selected_bytes,bufferpool_bytes,median_prefill_s,median_decode_avg_s,median_decode_ms_per_token,median_decode_tokens_per_s
4c8g,64,1,0.0,0,0,5153960755,5.828017073,2.895318513,2895.3185132,0.345385143
4c8g,64,1,0.25,1288490188,1189085184,3865470567,17.031614885,1.411941067,1411.9410668,0.708244858
4c8g,64,1,0.5,2576980377,2510290944,2576980378,30.054972804,1.917189164,1917.1891644,0.521596939
4c8g,64,1,0.75,3865470566,3831496704,1288490189,40.003942614,1.874598156,1874.5981564,0.53344766
4c8g,128,1,0.0,0,0,5153960755,3.365264907,0.918839207,918.8392072,1.088329701
4c8g,128,1,0.25,1288490188,1189085184,3865470567,13.210815078,1.158349898,1158.3498984,0.863297007
4c8g,128,1,0.5,2576980377,2510290944,2576980378,24.050046217,1.398413064,1398.4130638,0.715096294
4c8g,128,1,0.75,3865470566,3831496704,1288490189,32.815416111,1.347164852,1347.1648518,0.742299651
4c8g,256,1,0.0,0,0,5153960755,2.314255583,0.899126303,899.126303,1.112190798
4c8g,256,1,0.25,1288490188,1189085184,3865470567,11.101294819,1.022683467,1022.683467,0.97781966
4c8g,256,1,0.5,2576980377,2510290944,2576980378,20.760755137,1.117942299,1117.942299,0.894500549
4c8g,256,1,0.75,3865470566,3831496704,1288490189,30.112964928,1.11797873,1117.9787304,0.8944714
4c8g,512,1,0.0,0,0,5153960755,1.950902716,0.876823637,876.8236372,1.140480203
4c8g,512,1,0.25,1288490188,1189085184,3865470567,10.780195287,0.961558682,961.5586824,1.03997813
4c8g,512,1,0.5,2576980377,2510290944,2576980378,20.625381059,1.030222473,1030.2224734,0.970664129
4c8g,512,1,0.75,3865470566,3831496704,1288490189,29.705232421,0.995199851,995.1998508,1.004823302
